1788910860.390082 server started (40412): version 3.7c, socket /tmp/tmux-1000/default, protocol 8
1788910860.390092 on Linux 7.2.2-1-cachyos #1 SMP PREEMPT_DYNAMIC Fri, 28 Aug 2026 17:20:10 +0000
1788910860.390098 using libevent 2.1.13-stable poll
1788910860.390100 using ncurses 6.6 20251230
1788910860.390335 input_key_build: 0x2000200000028 (KP6[K]) is \033Ov
1788910860.390337 input_key_build: 0x2000200000029 (KP1[K]) is \033Oq
1788910860.390338 input_key_build: 0x200020000002a (KP2[K]) is \033Or
1788910860.390340 input_key_build: 0x200020000002b (KP3[K]) is \033Os
1788910860.390341 input_key_build: 0x200020000002c (KPEnter[K]) is \033OM
1788910860.390343 input_key_build: 0x200020000002d (KP0[K]) is \033Op
1788910860.390344 input_key_build: 0x200020000002e (KP.[K]) is \033On
1788910860.390346 input_key_build: 0x400020000001b (Up[C]) is \033OA
1788910860.390348 input_key_build: 0x400020000001c (Down[C]) is \033OB
1788910860.390349 input_key_build: 0x400020000001d (Left[C]) is \033OD
1788910860.390351 input_key_build: 0x400020000001e (Right[C]) is \033OC
1788910860.390352 input_key_build: 0x8000200000005 (PasteStart[I]) is \033[200~
1788910860.390354 input_key_build: 0x8000200000006 (PasteEnd[I]) is \033[201~
1788910860.390356 input_key_build: 0x8100200000008 (M-F1[I]) is \033[1;3P
1788910860.390358 input_key_build: 0x8100200000009 (M-F2[I]) is \033[1;3Q
1788910860.390359 input_key_build: 0x810020000000a (M-F3[I]) is \033[1;3R
1788910860.390361 input_key_build: 0x810020000000b (M-F4[I]) is \033[1;3S
1788910860.390363 input_key_build: 0x810020000000c (M-F5[I]) is \033[15;3~
1788910860.390364 input_key_build: 0x810020000000d (M-F6[I]) is \033[17;3~
1788910860.390366 input_key_build: 0x810020000000e (M-F7[I]) is \033[18;3~
1788910860.390368 input_key_build: 0x810020000000f (M-F8[I]) is \033[19;3~
1788910860.390370 input_key_build: 0x8100200000010 (M-F9[I]) is \033[20;3~
1788910860.390371 input_key_build: 0x8100200000011 (M-F10[I]) is \033[21;3~
1788910860.390373 input_key_build: 0x8100200000012 (M-F11[I]) is \033[23;3~
1788910860.390375 input_key_build: 0x8100200000013 (M-F12[I]) is \033[24;3~
1788910860.390376 input_key_build: 0x8100200000014 (M-IC[I]) is \033[2;3~
1788910860.390378 input_key_build: 0x8100200000015 (M-DC[I]) is \033[3;3~
1788910860.390380 input_key_build: 0x8100200000016 (M-Home[I]) is \033[1;3H
1788910860.390381 input_key_build: 0x8100200000017 (M-End[I]) is \033[1;3F
1788910860.390383 input_key_build: 0x8100200000018 (M-NPage[I]) is \033[6;3~
1788910860.390384 input_key_build: 0x8100200000019 (M-PPage[I]) is \033[5;3~
